"Country/Region/World","ISO","Sex","Year","Age","Prevalence of diabetes (18+ years)","Prevalence of diabetes (18+ years) lower 95% uncertainty interval","Prevalence of diabetes (18+ years) upper 95% uncertainty interval","Proportion of people with diabetes who were treated (30+ years)","Proportion of people with diabetes who were treated (30+ years) lower 95% uncertainty interval","Proportion of people with diabetes who were treated (30+ years) upper 95% uncertainty interval"
"Romania","ROU","Men","2000","Crude","0.0429449513755935","0.0276570056386191","0.0629926663897414","0.364190707909612","0.217111582622437","0.52541245745817"
"Romania","ROU","Men","2001","Crude","0.0449022485917857","0.0290066461295622","0.065232060258271","0.371041923631583","0.227049238990671","0.527235544478001"
"Romania","ROU","Men","2002","Crude","0.0472068241396947","0.0307520881319293","0.0681719909254541","0.378279167220416","0.238928246794343","0.527568773796948"
"Romania","ROU","Men","2003","Crude","0.0498337965687365","0.0327288392125069","0.0710662479490391","0.385906807658918","0.24943272923979","0.530326632431356"
"Romania","ROU","Men","2004","Crude","0.0528128527546731","0.0348942372549512","0.0745186232380529","0.394087424826846","0.260832893231154","0.532142364191542"
"Romania","ROU","Men","2005","Crude","0.0561526068099638","0.0377392268806549","0.0780584144096887","0.402909732640031","0.274675143382669","0.534352708916831"
"Romania","ROU","Men","2006","Crude","0.0598661804652518","0.041017218373378","0.0822554048045287","0.412119712206109","0.288406921497801","0.534995332282906"
"Romania","ROU","Men","2007","Crude","0.0640505592193667","0.0447705326760878","0.087031647443657","0.421782260885399","0.303652007033317","0.539264045538247"
"Romania","ROU","Men","2008","Crude","0.0687793571120576","0.0491508493096328","0.0916053237327776","0.431941265046851","0.318142384138104","0.543095139117612"
"Romania","ROU","Men","2009","Crude","0.0740636227215257","0.0544145013421303","0.0967592733612291","0.442800350270432","0.334273384120043","0.549714003220937"
"Romania","ROU","Men","2010","Crude","0.0798140392679589","0.060050107219925","0.10294499144082","0.454484957617318","0.351517907763881","0.554322422915178"
"Romania","ROU","Men","2011","Crude","0.085937036976897","0.0655829609803007","0.109228288819729","0.467018633107888","0.369253745255001","0.561209048091643"
"Romania","ROU","Men","2012","Crude","0.0923615726387701","0.0715182517071842","0.115898180627831","0.480455560256601","0.387479194539108","0.570789343593134"
"Romania","ROU","Men","2013","Crude","0.0991322007697695","0.0775315882990706","0.123650079426434","0.49496359057959","0.40763567840685","0.582201196039062"
"Romania","ROU","Men","2014","Crude","0.106247565280751","0.0833920932011468","0.131732262087269","0.510345663944411","0.423391461013975","0.596548575218418"
"Romania","ROU","Men","2015","Crude","0.113656322184189","0.089563009290007","0.14154850106382","0.526277663110502","0.439953965540902","0.611721694461714"
"Romania","ROU","Men","2016","Crude","0.121317326467164","0.094955326086228","0.151918070319047","0.542591641372722","0.452498969791095","0.630271663355526"
"Romania","ROU","Men","2017","Crude","0.129395325638114","0.100118201493491","0.163550342366985","0.559070180075934","0.463074693311512","0.648657692339381"
"Romania","ROU","Men","2018","Crude","0.138072244302726","0.105613711423902","0.175327811296815","0.575582514571015","0.475007523935476","0.669449794765095"
"Romania","ROU","Men","2019","Crude","0.147293416768751","0.11122107276365","0.189183618079757","0.591880426378614","0.481819651834134","0.690324735762147"
"Romania","ROU","Men","2020","Crude","0.156934232978186","0.115639981398041","0.204511271591163","0.608071295289949","0.489826671792057","0.714827705754068"
"Romania","ROU","Men","2021","Crude","0.166528826682184","0.119355461251874","0.221060164553794","0.623977565350861","0.495659283132948","0.740337017838422"
"Romania","ROU","Men","2022","Crude","0.176190741976075","0.122174602314341","0.24058456203089","0.639538308587495","0.497973972310221","0.765073519930279"
"Romania","ROU","Women","1990","Crude","0.0368437275492917","0.0174053835274007","0.0639408130389245","0.348397117603366","0.17589464973929","0.559402578165612"
