"Year","Sex","Country/Region/World","ISO","Prevalence of BMI<18.5 kg/m² (underweight)","Prevalence of BMI<18.5 kg/m² (underweight) lower 95% uncertainty interval","Prevalence of BMI<18.5 kg/m² (underweight) upper 95% uncertainty interval","Prevalence of BMI>=30 kg/m² (obesity)","Prevalence of BMI>=30 kg/m² (obesity) lower 95% uncertainty interval","Prevalence of BMI>=30 kg/m² (obesity) upper 95% uncertainty interval","Prevalence of BMI 18.5 kg/m² to <20 kg/m²","Prevalence of BMI 18.5 kg/m² to <20 kg/m² lower 95% uncertainty interval","Prevalence of BMI 18.5 kg/m² to <20 kg/m² upper 95% uncertainty interval","Prevalence of BMI 20 kg/m² to <25 kg/m²","Prevalence of BMI 20 kg/m² to <25 kg/m² lower 95% uncertainty interval","Prevalence of BMI 20 kg/m² to <25 kg/m² upper 95% uncertainty interval","Prevalence of BMI 25 kg/m² to <30 kg/m²","Prevalence of BMI 25 kg/m² to <30 kg/m² lower 95% uncertainty interval","Prevalence of BMI 25 kg/m² to <30 kg/m² upper 95% uncertainty interval","Prevalence of BMI 30 kg/m² to <35 kg/m²","Prevalence of BMI 30 kg/m² to <35 kg/m² lower 95% uncertainty interval","Prevalence of BMI 30 kg/m² to <35 kg/m² upper 95% uncertainty interval","Prevalence of BMI 35 kg/m² to <40 kg/m²","Prevalence of BMI 35 kg/m² to <40 kg/m² lower 95% uncertainty interval","Prevalence of BMI 35 kg/m² to <40 kg/m² upper 95% uncertainty interval","Prevalence of BMI >=40 kg/m² (morbid obesity)","Prevalence of BMI >=40 kg/m² (morbid obesity) lower 95% uncertainty interval","Prevalence of BMI >=40 kg/m² (morbid obesity) upper 95% uncertainty interval"
"2015","Men","Germany","DEU","0.006529962220349477","0.004319566077258481","0.009350538893867397","0.22702575857022095","0.20753594102593326","0.2467138994647555","0.02042352041353167","0.016106822519671785","0.0252931956197581","0.31878302692498456","0.298278479435667","0.34076033912688714","0.4272377298709133","0.40455618428277407","0.4492272109765918","0.17373902878159864","0.15514969115840416","0.19239884205765448","0.03956759342526224","0.032393426572930054","0.04729271855345188","0.013719136363360064","0.01014290220799564","0.01798060135677157"
"2016","Men","Germany","DEU","0.006572065168525253","0.004226490029070998","0.009694443969246987","0.22698388220994667","0.20570225096430453","0.24884294132824006","0.020676355614462703","0.015987018840378567","0.026035546069830072","0.3194965070389996","0.29682180911236067","0.3433063792584946","0.4262711879680658","0.4013343212610389","0.450214841040032","0.17392889962399147","0.15416909313734545","0.19445122615766117","0.039182440823570704","0.03159837925331284","0.04753178897521512","0.013872541762384472","0.010064471431749237","0.018536232621925965"
"2017","Men","Germany","DEU","0.006647602849795896","0.004102369852176771","0.010124573730256098","0.22698582519677174","0.2037530779386179","0.25140815765903834","0.020961434096219263","0.015846135408374876","0.02693151735778218","0.3201703536856772","0.29510941910190897","0.3461860073975677","0.4252347821715359","0.39776516489907005","0.45183234421612994","0.17417316492125348","0.15221948845106073","0.1966227115983755","0.03876923121503735","0.030569433222529935","0.04787890801654564","0.01404342906048091","0.009871707743461128","0.019168656538844732"
"2018","Men","Germany","DEU","0.006755883275759813","0.004024211340883696","0.010579398716475487","0.22696335696493025","0.2014562741272597","0.25341974254118443","0.021258401625774498","0.015616063925106536","0.027975800546325775","0.3208950829476628","0.2933628678571162","0.34891488151297795","0.42412727318587273","0.3936571601746532","0.45374504881969685","0.17439175517011957","0.150336596340063","0.19946334111156377","0.03833179114036357","0.029435361272828066","0.04820266087424842","0.014239810654447111","0.009621244594126312","0.019937794401516842"
"2019","Men","Germany","DEU","0.006895700311137378","0.0038889114394477595","0.011129555620644282","0.22698871849793711","0.19896758172863166","0.2559452026953524","0.02156364946597789","0.01527468156738734","0.029081888602041143","0.32160384043838497","0.2908842525079495","0.35262944326910733","0.4229480892865627","0.38883923093718836","0.4557234548030096","0.17463945922829224","0.14815937688894193","0.20259735451495944","0.03788859351806769","0.028126622511946496","0.04915884208054191","0.014460665751577147","0.009308035956485557","0.021022353762794165"
"2020","Men","Germany","DEU","0.007062613589850455","0.0037962370732908023","0.011807443008229092","0.22714705486913606","0.19621078371684128","0.25897112674649886","0.021884249970006868","0.014890496412568462","0.0302302500483124","0.32212843491175813","0.2877444628540554","0.35714644156861697","0.4217776446592485","0.38406602368038917","0.4585400379861463","0.17496448154981903","0.1454095771376339","0.20600784886515255","0.0374637588225057","0.026721069504739525","0.050166635880569944","0.014718814496811334","0.00903703681370735","0.022378021390284875"
"2021","Men","Germany","DEU","0.007252205903747736","0.0036672913710036766","0.012530510775064086","0.22741315761180136","0.1933135247835716","0.26309497240105334","0.02222881605103541","0.014536482801575663","0.031508169705948975","0.32254301405018543","0.2843206848975457","0.36137417048932646","0.42056280438323","0.3788735426673381","0.46179985540000923","0.17533778604652153","0.14271610702309448","0.20952718871518566","0.03706779109760835","0.025154484867692607","0.05127630458475761","0.015007580467671472","0.008606870274572222","0.023906884540110432"
"2022","Men","Germany","DEU","0.007458157986013877","0.003535172233401944","0.013483199926681434","0.22775304668495175","0.1897878865181192","0.2679956070716536","0.02258353843530121","0.01418227978758306","0.03305368803348608","0.32290869838859265","0.2804878545553612","0.36612976342906195","0.4192965565051405","0.37297104805703785","0.46463646040746226","0.1757347542904086","0.13963724297725036","0.2133861374758773","0.036692457944307644","0.023506073771258452","0.05292380510177527","0.015325834450235472","0.008184494832210966","0.02575978607730073"
"2023","Men","Germany","DEU","0.007677275317862114","0.003409116096922509","0.014493702273981255","0.22813735413164565","0.18581100412843188","0.2727684379770291","0.022950181864079332","0.013797740700122827","0.03478334808405338","0.32326754316333167","0.2764601425984149","0.37108874576732487","0.4179676435230812","0.36752265752168556","0.46817462240423036","0.17613254337790518","0.13669677291595045","0.21853537479921065","0.03632742093455766","0.021862547202347163","0.054448684841013756","0.01567738981918282","0.007719433179697252","0.027809753490600286"
"2024","Men","Germany","DEU","0.007913139960502935","0.00324276153108935","0.015538841878478357","0.22856485334391485","0.1818506527999894","0.277847452404581","0.023328480743176488","0.013470002767471678","0.036390681195980074","0.32358776311640614","0.27190889454635214","0.3769181739153308","0.41660576083599965","0.3603005055066783","0.47213973548282745","0.17651602894347293","0.13356227822068636","0.22354316164861807","0.035987425222522816","0.02017314262140095","0.05625223096035247","0.016061399177919104","0.007221210544307445","0.030378628751919868"
