"Country","ISO","Sex","Year","Age","Prevalence of hypertension","Prevalence of hypertension lower 95% uncertainty interval","Prevalence of hypertension upper 95% uncertainty interval","Proportion of diagnosed hypertension among all hypertension","Proportion of diagnosed hypertension among all hypertension lower 95% uncertainty interval","Proportion of diagnosed hypertension among all hypertension upper 95% uncertainty interval","Proportion of treated hypertension among all hypertension","Proportion of treated hypertension among all hypertension lower 95% uncertainty interval","Proportion of treated hypertension among all hypertension upper 95% uncertainty interval","Proportion of controlled hypertension among all hypertension","Proportion of controlled hypertension among all hypertension lower 95% uncertainty interval","Proportion of controlled hypertension among all hypertension upper 95% uncertainty interval","Proportion of untreated stage 2 hypertension among all hypertension","Proportion of untreated stage 2 hypertension among all hypertension lower 95% uncertainty interval","Proportion of untreated stage 2 hypertension among all hypertension upper 95% uncertainty interval"
"United Kingdom","GBR","Men","2010","75-79","0.670483658310451","0.638041480858604","0.702036232383348","0.74057374118233","0.699707613529868","0.778881312955298","0.672097921098349","0.629787408229862","0.712588896991958","0.38560644524055","0.336967101148737","0.435324519980801","0.0881410926720175","0.0718733839032598","0.106519484315042"
"United Kingdom","GBR","Men","2011","75-79","0.666533511168137","0.633978569656205","0.698416273742756","0.751973533722109","0.711560233832388","0.789893154766507","0.685759487190049","0.643984471368859","0.726245714974105","0.406147678837769","0.357629032196265","0.45707512809843","0.0811812437945195","0.0656267027658902","0.0985338172222945"
"United Kingdom","GBR","Men","2012","75-79","0.662545496320458","0.629705282810642","0.695262374732288","0.762112426927452","0.721295089339138","0.799397916634309","0.697912994269013","0.656356542240063","0.738712380672468","0.425126698702177","0.375161335651975","0.477293091023106","0.074852634029171","0.0595185850981315","0.0919921988512462"
"United Kingdom","GBR","Men","2013","75-79","0.658622561922587","0.624813108108634","0.693353394790324","0.771240521071889","0.730454297270225","0.808332308869887","0.708780348441944","0.666326109061749","0.750317784846582","0.442207449114692","0.390128361808789","0.496642460007937","0.0690384123161083","0.0541059950613907","0.0856978346318438"
"United Kingdom","GBR","Men","2014","75-79","0.654928447849042","0.619668514787262","0.691389050751937","0.779438902035121","0.737560380757711","0.817481672908498","0.7183413958465","0.674278319100407","0.7607515535171","0.457243042945654","0.402901426805295","0.513590109316409","0.0636660745304143","0.0490525965224329","0.0800518335293542"
"United Kingdom","GBR","Men","2015","75-79","0.651489012461064","0.613726481609904","0.689048029001757","0.78695495856984","0.743961178027835","0.826108811328782","0.72677702362072","0.679911540005422","0.770807849713343","0.470153031091598","0.412559707037882","0.529615341268435","0.0587370895668742","0.0443841323112158","0.0750607028528501"
"United Kingdom","GBR","Men","2016","75-79","0.648288467059921","0.606789818008508","0.689501681157192","0.793930065358087","0.748864990661788","0.83533509370799","0.73434133813209","0.684596710637458","0.781576526649404","0.4813462094134","0.419260761785139","0.546960724199301","0.0542306643694319","0.0397596725347654","0.0711045051817512"
"United Kingdom","GBR","Men","2017","75-79","0.64536288721624","0.599399336238427","0.690498427841414","0.8003431464496","0.750265004313502","0.844824452163025","0.741027956125325","0.686348085753706","0.792526248354987","0.490691940443996","0.420105118096727","0.561835117735183","0.0501573304664769","0.035346494350978","0.0679474488121687"
"United Kingdom","GBR","Men","2018","75-79","0.642528498325092","0.590595637710424","0.693682505019099","0.806307313464437","0.751648572930495","0.855328864443526","0.747246219719857","0.686415591576581","0.802476461842498","0.499126307906794","0.417521511650355","0.579048674235504","0.0464358892662066","0.0311697278152647","0.0654463938188698"
"United Kingdom","GBR","Men","2019","75-79","0.63968952549867","0.580278012620271","0.698181048401472","0.811957220412361","0.749737639559091","0.865802664815173","0.753182581480612","0.684526467908294","0.813974385134174","0.507276011981501","0.41215259982529","0.601088293967211","0.0429988681390747","0.0275150667454989","0.0634350865080244"
"United States of America","USA","Men","1990","75-79","0.686146380204789","0.623761438587081","0.744047612215207","0.699345468721835","0.610098592481787","0.778584561221994","0.61997367988496","0.532521645445803","0.701732543787671","0.193105549699658","0.126980017026086","0.272082035039159","0.153915599952868","0.110193298454651","0.204459500422029"
"United States of America","USA","Men","1991","75-79","0.685199451026407","0.629244927388802","0.737706284170115","0.710767821787201","0.630197702570299","0.782704073625519","0.637616487486421","0.559474544781161","0.710272053841507","0.208757838595416","0.145986847807404","0.283142817258414","0.141257182120716","0.103521296884806","0.183779862163681"
"United States of America","USA","Men","1992","75-79","0.684283788627571","0.633599527463329","0.732656395181193","0.721760495222376","0.649810953057271","0.78792202543553","0.654913120403397","0.584220584792777","0.72058406785386","0.225387334021062","0.165057186933053","0.29482304225751","0.129481064024554","0.0961870115184725","0.165715256198335"
"United States of America","USA","Men","1993","75-79","0.683281242053607","0.637036337020317","0.72780037101872","0.732227428901463","0.665681046295171","0.793804837883537","0.671693273703407","0.607952065308901","0.731552521280624","0.243083058758923","0.183156020592247","0.310412482017941","0.118601787985853","0.0895159427400787","0.14995524612356"
"United States of America","USA","Men","1994","75-79","0.682116152237606","0.638748507967902","0.723522801503904","0.7421972287826","0.678422891372477","0.799976416241048","0.687914263732798","0.629021387513273","0.742847863544006","0.261854511923344","0.203128437914925","0.326361087415027","0.108634516499044","0.0830736957458466","0.136990031179811"
"United States of America","USA","Men","1995","75-79","0.680830854497952","0.638811351223706","0.721301190131939","0.751751270169486","0.691462004395607","0.806853367366727","0.703429101939273","0.648197268801044","0.754590871980011","0.281666040929679","0.222374236780857","0.345861432692311","0.0995397918082331","0.0766873891586246","0.125098536831037"
"United States of America","USA","Men","1996","75-79","0.679497428913744","0.638644897980859","0.718648413090617","0.76098337722298","0.703688159468755","0.812611763172304","0.718046135226332","0.665505349829609","0.76605530205085","0.302050081551496","0.242433441678897","0.36463325031909","0.0912756730686677","0.0704204533852286","0.114709913971552"
